[-0.004, -0.025, 0.184, -1.348, -10.245, -160.491]   ===>   [0.039, 0.030, -0.166],  actual: [0.038, 0.031, -0.167]  (mse: 0.000002)
[0.009, -0.029, 0.187, 27.357, 3.271, -164.686]   ===>   [0.026, 0.025, -0.165],  actual: [0.028, 0.024, -0.164]  (mse: 0.000005)
[0.021, -0.006, 0.189, -3.794, 2.934, -161.447]   ===>   [0.011, 0.048, -0.162],  actual: [0.011, 0.049, -0.160]  (mse: 0.000003)
[-0.030, -0.027, 0.186, 42.728, -3.941, -160.950]   ===>   [0.067, 0.034, -0.169],  actual: [0.069, 0.032, -0.168]  (mse: 0.000009)
[0.005, -0.014, 0.174, 13.026, -2.924, -160.786]   ===>   [0.029, 0.040, -0.165],  actual: [0.029, 0.038, -0.165]  (mse: 0.000002)
[0.006, -0.028, 0.192, 56.111, -3.087, -168.939]   ===>   [0.029, 0.027, -0.164],  actual: [0.031, 0.027, -0.165]  (mse: 0.000003)
[-0.010, -0.039, 0.189, 52.213, -3.307, -170.967]   ===>   [0.047, 0.017, -0.167],  actual: [0.047, 0.017, -0.168]  (mse: 0.000000)
[0.016, -0.041, 0.192, 82.496, -7.025, -179.299]   ===>   [0.023, 0.012, -0.161],  actual: [0.022, 0.012, -0.163]  (mse: 0.000003)
[0.010, -0.040, 0.192, 23.730, 15.480, -155.135]   ===>   [0.028, 0.014, -0.165],  actual: [0.029, 0.014, -0.164]  (mse: 0.000001)
[-0.030, -0.010, 0.195, -69.749, 15.375, -174.225]   ===>   [0.066, 0.051, -0.170],  actual: [0.066, 0.050, -0.169]  (mse: 0.000002)
[0.020, -0.032, 0.192, 88.528, 4.325, -176.196]   ===>   [0.017, 0.021, -0.162],  actual: [0.017, 0.022, -0.162]  (mse: 0.000001)
[-0.032, -0.033, 0.184, -60.749, 1.257, -152.574]   ===>   [0.070, 0.027, -0.170],  actual: [0.069, 0.027, -0.168]  (mse: 0.000005)
[-0.031, -0.021, 0.184, 6.194, 13.863, -153.928]   ===>   [0.069, 0.040, -0.170],  actual: [0.068, 0.039, -0.169]  (mse: 0.000003)
[0.024, -0.025, 0.184, 5.560, 11.898, -163.393]   ===>   [0.012, 0.027, -0.163],  actual: [0.011, 0.027, -0.162]  (mse: 0.000001)
[0.027, -0.046, 0.198, -55.987, 6.323, -160.258]   ===>   [0.013, 0.010, -0.161],  actual: [0.011, 0.011, -0.160]  (mse: 0.000006)
[0.020, -0.038, 0.195, -34.639, 4.437, -160.966]   ===>   [0.017, 0.017, -0.163],  actual: [0.016, 0.017, -0.164]  (mse: 0.000003)
[-0.011, -0.040, 0.186, -48.086, 5.911, -160.504]   ===>   [0.048, 0.018, -0.168],  actual: [0.049, 0.017, -0.167]  (mse: 0.000001)
[-0.000, -0.015, 0.181, 46.683, -5.673, -172.973]   ===>   [0.033, 0.039, -0.166],  actual: [0.033, 0.040, -0.165]  (mse: 0.000001)
[0.023, -0.031, 0.192, -22.040, 18.848, -157.972]   ===>   [0.013, 0.024, -0.162],  actual: [0.013, 0.023, -0.162]  (mse: 0.000001)
[-0.000, -0.041, 0.195, -60.417, -7.226, -173.639]   ===>   [0.037, 0.018, -0.166],  actual: [0.036, 0.017, -0.167]  (mse: 0.000002)
[0.013, -0.024, 0.192, -47.493, -8.197, -164.195]   ===>   [0.021, 0.033, -0.165],  actual: [0.021, 0.032, -0.164]  (mse: 0.000001)
[0.026, -0.032, 0.184, 12.203, 14.793, -161.337]   ===>   [0.011, 0.020, -0.162],  actual: [0.010, 0.018, -0.161]  (mse: 0.000002)
[0.023, -0.023, 0.189, -65.056, 9.170, -159.002]   ===>   [0.011, 0.032, -0.163],  actual: [0.011, 0.031, -0.163]  (mse: 0.000002)
[-0.014, -0.035, 0.187, -6.980, -4.267, -166.457]   ===>   [0.051, 0.022, -0.167],  actual: [0.052, 0.022, -0.167]  (mse: 0.000002)
[0.009, -0.024, 0.181, -46.470, -2.063, -171.931]   ===>   [0.025, 0.031, -0.165],  actual: [0.025, 0.031, -0.165]  (mse: 0.000000)
[-0.032, -0.044, 0.184, 21.512, -14.025, -163.733]   ===>   [0.070, 0.014, -0.168],  actual: [0.070, 0.014, -0.167]  (mse: 0.000001)
[0.011, -0.042, 0.195, -47.188, 9.349, -166.739]   ===>   [0.027, 0.014, -0.163],  actual: [0.027, 0.014, -0.163]  (mse: 0.000000)
